Year,Quarter,Origin City,Origin State,Destination City,Destination State,Passengers,MktFare,MktDistance,MktMilesFlown,Price Per Person (USD),Route,Is_Group,Fare_per_Mile,Log_Price_Per_Person,Route_Count,Route_Mean,Airline Code_AS,Airline Code_B6,Airline Code_DL,Airline Code_F9,Airline Code_UA,Airline Code_WN,Dist_Med,Dist_Long,Dist_XL,Predicted Price Per Person (USD)
2024,3,San Francisco,CA,Honolulu,HI,1,887,2398,2398,887,San Francisco–Honolulu,0,0.3698915763,6.788971743,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,2,892,2398,2398,446,San Francisco–Honolulu,1,0.1859883236,6.102558595,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,2,893,2398,2398,446.5,San Francisco–Honolulu,1,0.1861968307,6.103676538,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,896,2398,2398,896,San Francisco–Honolulu,0,0.3736447039,6.799055862,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,898,2398,2398,898,San Francisco–Honolulu,0,0.3744787323,6.801283034,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,909,2398,2398,909,San Francisco–Honolulu,0,0.3790658882,6.8134446,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,910,2398,2398,910,San Francisco–Honolulu,0,0.3794829024,6.814542897,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,928,2398,2398,928,San Francisco–Honolulu,0,0.3869891576,6.834108739,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,951,2398,2398,951,San Francisco–Honolulu,0,0.3965804837,6.858565035,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,960,2398,2398,960,San Francisco–Honolulu,0,0.4003336113,6.867974409,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
